S.No,AppTag,LOB,AuthReq,ImmediateTxf,ClarfierQuestion,NextAction
222,billing-query,SHARED_MM_BW,Y,N,NA,BILLING_PAYMENT 
223,billing-query,BW_PROD_BW,Y,N,NA,OTHER_BILLING
224,billing-query,FOREMOST_AGENT_FOREMOST,Y,N,NA,OTHER_BILLING
225,billing-query,FARM_PL_FAS,Y,N,NA,FAS_BILLING_MENU
226,billing-query,SHARED_MM_FARMERSERVICE,Y,N,NA,BILLING_PAYMENT 
227,billing-query,FARMER_SALES_FARMER_TRAINING,Y,N,NA,BILLING_PAYMENT 
228,billing-query,FARMER_VANITY_VANITY,Y,N,NA,BILLING_PAYMENT 
229,billing-query,SHARED_MM_HOMEOWNER,Y,N,NA,BILLING_PAYMENT 
230,billing-query,21V,Y,N,NA,BILLING_PAYMENT 
231,billing-query,21_VANITY_FF_AUTO_SERVICE,Y,N,NA,BILLING_PAYMENT 
232,billing-query,21SV,Y,N,NA,BILLING_PAYMENT 
233,billing-query,21SM,Y,N,NA,BILLING_PAYMENT 
234,billing-query,SHARED_MAIN_MENU_FWS,Y,N,NA,BILLING_PAYMENT 
235,cancellation-confirm,SHARED_MM_BW,Y,N,NA,POLICY_CHANGE
236,cancellation-confirm,BW_PROD_BW,Y,N,NA,POLICY_QUESTION
237,cancellation-confirm,FOREMOST_AGENT_FOREMOST,Y,N,NA,POLICY_QUESTION
238,cancellation-confirm,FARM_PL_FAS,Y,N,NA,FAS_BILLING_MENU
239,cancellation-confirm,SHARED_MM_FARMERSERVICE,Y,N,NA,POLICY_CHANGE
240,cancellation-confirm,FARMER_SALES_FARMER_TRAINING,Y,N,NA,POLICY_CHANGE
241,cancellation-confirm,FARMER_VANITY_VANITY,Y,N,NA,POLICY_CHANGE
242,cancellation-confirm,SHARED_MM_HOMEOWNER,Y,N,NA,POLICY_CHANGE
243,cancellation-confirm,21V,Y,N,NA,POLICY_CHANGE
244,cancellation-confirm,21_VANITY_FF_AUTO_SERVICE,Y,N,NA,POLICY_CHANGE
